Não Consolidado,31/12/2003,31/03/2004,30/06/2004,30/09/2004,31/12/2004,31/03/2005,30/06/2005,30/09/2005,31/12/2005,31/03/2006,30/06/2006,30/09/2006,31/12/2006,31/03/2007,30/06/2007,30/09/2007,31/12/2007,31/03/2008,30/06/2008,30/09/2008,31/12/2008,31/03/2009,30/06/2009,30/09/2009,31/12/2009,31/03/2010,30/06/2010,30/09/2010,31/12/2010,31/03/2011,30/06/2011,30/09/2011,31/12/2011,31/03/2012,30/06/2012,30/09/2012,31/12/2012,31/03/2013,30/06/2013,30/09/2013,31/12/2013,31/03/2014,30/06/2014,30/09/2014,31/12/2014,31/03/2015,30/06/2015,30/09/2015,31/12/2015,31/03/2016,30/06/2016,30/09/2016,31/12/2016,31/03/2017,30/06/2017,30/09/2017,31/12/2017,31/03/2018,30/06/2018,30/09/2018,31/12/2018,31/03/2019,30/06/2019
Margem Ebitda %,59.2126217480,,,,16.5245149680,,,,14.5060597710,14.5928049490,17.5442684290,18.5746202140,18.9864675600,19.0022858320,18.0106596960,17.3908343580,17.2191521560,16.2941329190,16.4184258270,15.0881287910,20.0828325990,22.4774286050,23.1071109600,22.6864539690,17.2998152120,16.2848447330,15.1751819820,17.2008695250,19.3403865070,19.7616625140,19.4182540060,16.7751393240,14.7169602380,15.2987870460,16.3910896170,18.4882736990,21.2429964070,21.9530894170,22.1155998270,21.5417767480,19.8510955180,19.1292189770,18.6087560000,18.5026288630,19.9785109200,21.3901040520,21.4993280090,22.0721586500,20.4591408350,19.7604164390,20.3324373330,20.1784802180,22.1216588700,23.1254427310,23.1032728180,22.9360646720,23.6691650330,23.8174053270,23.9705686710,23.3059097870,22.5386037180,19.8469747840,17.8426246040
ROA Rentab do Ativo %,22.2387780280,,,,6.6607275963,6.0883574101,4.8528887618,5.7307234235,7.2946927966,7.4680026550,9.9105696841,9.2775882849,9.4888120511,9.4506015124,8.7942822065,8.5405036060,8.6263138569,8.4487291730,9.0058512828,7.8394329822,15.0073646510,16.9840442610,19.1221031360,20.4148479070,15.7710307720,14.4964402430,14.0344560340,15.1965870330,15.6963135300,16.3055997480,16.6050500680,14.6395735130,14.9633150260,15.2492222760,17.2998109830,18.2666883780,19.5205264410,20.0834813270,21.1250548990,20.1800317750,18.9715522990,17.4313261380,18.9105826820,17.7533443670,18.7936855510,19.3904937460,20.2188699660,19.4133066620,18.4018499900,17.5494585860,19.0964105420,18.9978230590,19.6204925250,19.1068160800,20.3314264190,19.4816320600,18.5007518660,17.0621129480,17.4768031650,16.2084733900,15.2043458050,12.7300813760,12.9735398600
ROE Rent Pat(pat final)%,29.3234265780,,,,9.4711426018,8.4020801772,6.3025680285,7.5565610332,9.8989287645,9.9699034449,12.6620856030,13.0285555830,13.7200933980,13.2462550320,11.8335421990,11.3060658910,11.2378024900,10.7269228110,11.2333061960,10.7912878370,19.3160924060,21.7134838640,24.3092451110,25.8139700610,19.4371167630,17.4090028610,15.9010276950,17.3909049210,18.6599363910,19.0230052840,19.6182946790,17.6267377130,16.9639162860,18.0572532510,19.2497375830,20.3814312040,21.9738753450,23.3467016130,23.6199883040,22.8326673370,21.0381349560,20.9557969740,20.9520986190,20.1976655790,21.1734259780,22.3702117830,22.7987414150,22.1687007110,21.0672775620,21.0347094870,21.1613105540,20.9757909500,21.7143201330,22.3560026970,22.3153426430,21.5095729810,20.5409979900,19.9618211970,19.3557505040,17.8260373780,16.8982078720,14.7696258630,14.0406830320
ROE Rent Pat(pat medio)%,,,,,9.7816624372,8.8043217600,6.5600655464,8.0906276214,10.6006823020,10.6652272420,13.7564797530,13.8585469280,14.6733527930,14.1651937820,12.5634140850,12.0452530860,11.9799842730,11.3731348060,11.7233406570,11.0084494310,20.4666008300,23.2060894470,26.2534636660,28.1849493380,20.6018576370,18.3432264270,16.6815170700,18.5584441050,20.2021375950,20.5185058420,20.7301393840,18.4235380070,17.5676748250,18.3687314540,19.9454643860,21.1541359550,22.8625101420,24.1651394160,24.4425808190,23.6080066980,21.6064226210,21.5721044660,21.6885853720,20.9672047740,22.4054799380,24.0470198370,24.4295440410,23.7097930630,22.3535406400,22.2092717760,22.3150922290,22.0957334640,22.9121057790,23.5974166440,23.5002306890,22.5557806410,21.5300099830,20.8246987110,20.0882948840,18.4544943350,17.5238838600,15.1993189560,14.5333063610
ROE Rent Pat (pat inic)%,,,,,10.1132338030,9.2470137315,6.8394999372,8.7059266329,11.4095248130,11.4648091720,15.0579504090,14.8014836370,15.7689659580,15.2211369560,13.3892385630,12.8878573290,12.8271305580,12.1021961060,12.2580791490,11.2345307510,21.7628430370,24.9190486050,28.5357087180,31.0355212390,21.9150872800,19.3834026930,17.5425807810,19.8940307540,22.0222242240,22.2692078060,21.9755806080,19.2957860800,18.2159958160,18.6911439410,20.6933670540,21.9877393710,23.8260477420,25.0430438900,25.3245361190,24.4378541220,22.2062640990,22.2257614620,22.4787348830,21.7977061600,23.7897758760,25.9955748960,26.3116245290,25.4811559920,23.8070825710,23.5227652180,23.6019450250,23.3420136900,24.2497484220,24.9848063050,24.8180036820,23.7089648860,22.6190777680,21.7655446850,20.8784685760,19.1288831190,18.1976741110,15.6547633780,15.0617544120
ROIC (IC fim) %,25.4108480650,,,,19.1852746610,21.3978379810,16.5722210070,14.6377658960,15.3185307870,17.6264374510,20.4096143300,18.5258556040,18.8819653590,24.6926643980,24.4258806060,19.6442359270,19.4612341960,21.5421073050,21.7338797990,15.6681063480,21.9298878550,30.3683346030,33.6902728460,31.2374311590,20.7191187360,20.9021736060,19.9455546320,21.8575702230,23.4548837030,24.5144496520,25.1161326130,16.9755466110,12.2412713090,16.2428956290,17.8648438630,17.9651890490,15.0305535650,20.6867377510,21.3794641040,17.8163291100,15.0936409910,16.6826598200,14.1667243690,14.4182880060,14.2060778780,17.4925000030,18.9111010360,14.5347436640,11.8126234850,12.3224490000,13.8304800060,14.6409917480,14.8079815020,17.4885436340,17.3933934080,17.4163420000,17.2508933020,17.5522614250,17.3379640870,16.1892212200,14.5889121990,13.8520169590,12.7709664930
ROIC (IC medio) %,,,,,18.5478777680,19.6854252270,16.3133269890,13.9063116150,14.7882521240,17.1547432210,19.8264065620,18.6350160950,20.2232115900,25.6371304340,24.2005659070,20.0650678160,19.4277636940,22.2265857260,22.9840541320,16.7214519710,23.3583578480,32.4730586020,35.6580651150,30.6257954350,21.4737298800,22.8965680050,21.6092259540,23.6900727330,24.3671194110,24.9724542540,24.6700660310,17.4795123090,13.4310600970,16.8954371040,19.8161918540,19.9997342900,18.1857995410,24.6414573030,25.2922507440,21.0914243660,15.7891165250,18.1343447930,16.1192278900,14.7586689570,14.6277709630,18.2494432280,17.7705659520,16.1586859930,12.9857546350,13.5582921630,15.2968458770,13.1741443450,13.1250075280,15.6449494610,16.3604335710,17.4849367310,17.4559662600,18.6798115310,18.4535956150,17.3631920040,15.6513635620,13.7132237020,12.0726128530
ROIC (IC inicial) %,,,,,17.9514717980,18.2267836220,16.0623975190,13.2444803030,14.2934582030,16.7076366610,19.2756033280,18.7454706310,21.7695738640,26.6567193140,23.9793700120,20.5043251070,19.3944081230,22.9559887850,24.3868313100,17.9266354550,24.9858898320,34.8912502040,37.8699875000,30.0376516550,22.2853860560,25.3117002380,23.5756890850,25.8579614190,25.3531861950,25.4478985250,24.2395673900,18.0143167490,14.8770312310,17.6026034290,22.2460970410,22.5539539890,23.0177308730,30.4656233910,30.9580782040,25.8418069390,16.5517792610,19.8627539140,18.6959660690,15.1155096260,15.0752649900,19.0748589920,16.7597779140,18.1911527230,14.4175892360,15.0696584830,17.1110294490,11.9744514980,11.7855432320,14.1529811150,15.4432867770,17.5540739220,17.6659735570,19.9621733970,19.7226740910,18.7207371350,16.8807178440,13.5771841910,11.4466753120
Invested Capital $,623761000.0000000000,574486000.0000000000,537906000.0000000000,632100000.0000000000,583647000.0000000000,489350000.0000000000,521358000.0000000000,571934000.0000000000,544591000.0000000000,463842000.0000000000,492390000.0000000000,578714000.0000000000,627875000.0000000000,500736000.0000000000,483389000.0000000000,604052000.0000000000,625719000.0000000000,533601000.0000000000,542394000.0000000000,691125000.0000000000,712915000.0000000000,613073000.0000000000,609685000.0000000000,664580000.0000000000,766808000.0000000000,742407000.0000000000,720649000.0000000000,786212000.0000000000,828869000.0000000000,770676000.0000000000,695498000.0000000000,834322000.0000000000,1007339000.0000000000,835190000.0000000000,866065000.0000000000,1047429000.0000000000,1542635000.0000000000,1229995000.0000000000,1254087000.0000000000,1519250000.0000000000,1691663000.0000000000,1464460000.0000000000,1655031000.0000000000,1592716000.0000000000,1795166000.0000000000,1596934000.0000000000,1466755000.0000000000,1993385000.0000000000,2191043000.0000000000,1952960000.0000000000,1814665000.0000000000,1630333000.0000000000,1743832000.0000000000,1580475000.0000000000,1611209000.0000000000,1643226000.0000000000,1785791000.0000000000,1797473000.0000000000,1832819000.0000000000,1900178000.0000000000,2066325000.0000000000,1761810000.0000000000,1642764000.0000000000
Rentab Invest Subsid %,210.7800427400,,,,-8.3444652240,-15.2518810520,-42.9097467500,-33.2390672800,-17.0309902490,-24.3952825500,-8.2090137165,-0.5350219695,-5.3728299519,-2.8177345199,-9.6076746850,-9.4525959368,-6.1565718082,2.9535755179,5.7690237865,13.4723375160,11.6022308340,13.2918711930,22.4893958500,14.0393124830,17.6106615900,23.1221577540,25.2221692690,26.2658409310,8.8545738858,-5.5935385596,-16.7806779530,-10.1829268290,-4.7979369550,4.4294053499,17.4343080450,1.3463361777,32.6081331240,27.9682612030,9.7232704403,21.2237218810,-4.5154889913,-9.7074895532,-11.6873380380,-9.0400705788,-12.1283200290,-17.2359675040,-30.9018770030,-45.3820329980,-80.9960267290,-101.9606730900,-171.8692973200,-193.2920220500,-161.3341897200,-150.2538521200,-70.8584119930,-73.6553133840,-53.0714789710,-58.9221945680,-64.9523809520,-76.3700464120,-81.5806525780,-96.9577593080,-102.4934136200
